"['Praise You', 'Fatboy Slim']"
"['I Love It', 'Kanye West & Lil Pump']"
"['Break You Off', 'The Roots Featuring Musiq']"
"[""Savin' Me"", 'Nickelback']"
"['Run', 'Collective Soul']"
"['Fall At Your Feet', 'Crowded House']"
"['In Paradise', 'Laissez Faire']"
"[""Something's Goin' On"", 'U.N.V.']"
"[""I'll Be Your Everything"", 'Tommy Page']"
"[""Leavin'"", 'Jesse McCartney']"
"['Vaina Loca', 'Ozuna x Manuel Turizo']"
"['For The Love Of You', 'Jordan Hill']"
"['Chasing Cars', 'Snow Patrol']"
"['Time After Time', 'Inoj']"
"['I Just Wanna Be Mad', 'Terri Clark']"
"['Pick It Up', 'Home Team']"
"['Landslide', 'Glee Cast Featuring Gwyneth Paltrow']"
"[""A Whole New World (Aladdin's Theme)"", 'Peabo Bryson & Regina Belle']"
"[""Losin' Myself"", 'Debbie Gibson']"
"['This Kiss', 'Faith Hill']"
"[""Livin' La Vida Loca"", 'Ricky Martin']"
"['Superwoman Pt. II', ""Lil' Mo Featuring Fabolous""]"
"['What You Waiting For?', 'Gwen Stefani']"
"['Six Feet Under', 'The Weeknd']"
"['Lady (Hear Me Tonight)', 'Modjo']"
"['Every Heartbeat', 'Amy Grant']"
"['Neighbors', 'J. Cole']"
"['Dream', 'Forest For The Trees']"
"['How High (From ""The Show"")', 'Redman/Method Man']"
"['Sangria', 'Blake Shelton']"
"['Get Busy', 'Sean Paul']"
"['Cheers (Drink To That)', 'Rihanna']"
"['On The Ocean', ""K'Jon""]"
"['Invisible Man', '98 Degrees']"
"['How Deep Is Your Love', 'Portrait']"
"['Celebration', 'Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne']"
"['She Came To Give It To You', 'Usher Featuring Nicki Minaj']"
"['Missing', 'Everything But The Girl']"
"['I Don\'t Wanna Fight (From ""What\'s Love Got To Do With It"")', 'Tina Turner']"
"['Worst Behavior', 'Drake']"
"['Almost Home', 'Craig Morgan']"
"['Happy People', 'R. Kelly']"
"['Read My Mind', 'The Killers']"
"['Angels', 'Robbie Williams']"
"['dontchange', 'Musiq']"
"[""This One's For The Girls"", 'Martina McBride']"
"['Youth', 'Troye Sivan']"
"[""You're Gonna Go Far, Kid"", 'The Offspring']"
"['Cowboy Casanova', 'Carrie Underwood']"
"['Rude', 'MAGIC!']"
"['Low Life', 'Future Featuring The Weeknd']"
"['Waiting For The End', 'Linkin Park']"
"['No More Drama', 'Mary J. Blige']"
"['U Guessed It', 'OG Maco Featuring 2 Chainz']"
"[""Gangsta Lovin'"", 'Eve Featuring Alicia Keys']"
"[""Ain't Gonna Hurt Nobody"", ""Kid 'N Play""]"
"['Fastlove', 'George Michael']"
"['Cold Rock A Party', 'MC Lyte']"
"['Did You Ever Think', 'R. Kelly']"
"['Hey Ma', ""Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya""]"
"['Real Love', 'The Beatles']"
"['Broccoli', 'D.R.A.M. Featuring Lil Yachty']"
"['Wat Da Hook Gon Be', 'Murphy Lee Featuring Jermaine Dupri']"
"['But For The Grace Of God', 'Keith Urban']"
"['Southern Hospitality', 'Ludacris']"
"['Around The Way Girl', 'LL Cool J']"
"[""Dancin' Away With My Heart"", 'Lady Antebellum']"
"['Duele El Corazon', 'Enrique Iglesias Featuring Wisin']"
"['Doo Doo Brown', '2 Hyped Brothers & A Dog']"
"['Only When I Lose Myself', 'Depeche Mode']"
"['Life Is Worth Living', 'Justin Bieber']"
"['If I Say', 'Kingofthehill']"
"['Yee Haw', 'Jake Owen']"
"['Wait A Minute', 'The Pussycat Dolls Featuring Timbaland']"
"['Ride Wit U', 'Joe Featuring G-Unit']"
"['By Your Side', 'Sade']"
"['Wu-Wear: The Garment Renaissance (From ""High School High"")', 'RZA Feat. Method Man & Cappadonna']"
"['If You Ever Stop Loving Me', 'Montgomery Gentry']"
"['I Believe', 'Blessid Union Of Souls']"
"['Rudolph The Red-Nosed Reindeer', 'Gene Autry']"
"['Hotel Room Service', 'Pitbull']"
"['Spend My Life With You', 'Eric Benet Featuring Tamia']"
"['Temptation', 'Corina']"
"['Call It Poison', 'The Escape Club']"
"['Not Like The Movies', 'Katy Perry']"
"['Feel This Moment', 'Pitbull Featuring Christina Aguilera']"
"['Hey Pretty Girl', 'Kip Moore']"
"['Summer', 'Calvin Harris']"
"['Something To Talk About', 'Bonnie Raitt']"
"['How Bad Do You Want It?', 'Don Henley']"
"[""If You're Gone"", 'matchbox twenty']"
"[""Almost Doesn't Count"", 'Brandy']"
"['Cha-Cha Slide', 'Mr. C The Slide Man']"
"['I Go To Extremes', 'Billy Joel']"
"['Only Women Bleed', 'Favorite Angel']"
"['Shake It', 'Metro Station']"
"['Kiss You In The Morning', 'Michael Ray']"
"[""Honey, I'm Good."", 'Andy Grammer']"
"['If I Never Stop Loving You', 'David Kersh']"
"['Same Old Love', 'Selena Gomez']"
"['Skat Strut', 'MC Skat Kat & The Stray Mob']"
"['Cry', 'Cassadee Pope']"
"['Where The Streets Have No Name', 'Pet Shop Boys']"
"['U + Ur Hand', 'P!nk']"
"['Now And Forever', 'Richard Marx']"
"['Whine Up', 'Kat DeLuna Featuring Elephant Man']"
"['Waiting For Superman', 'Daughtry']"
"['Radio', 'Darius Rucker']"
"[""I'll Sleep When I'm Dead"", 'Bon Jovi']"
"[""That's The Way"", 'Jo Dee Messina']"
"['All Summer Long', 'The Rock Heroes']"
"['Go The Distance (From ""Hercules"")', 'Michael Bolton']"
"['Meet Me Halfway', 'The Black Eyed Peas']"
"['You Look Good In My Shirt', 'Keith Urban']"
"['Gangsta Luv', 'Snoop Dogg Featuring The-Dream']"
"['Maps', 'Maroon 5']"
"['Me Neither', 'Brad Paisley']"
"['I Wanna Make You Close Your Eyes', 'Dierks Bentley']"
"['What The Hell', 'Avril Lavigne']"
"['The Moment', 'Kenny G']"
"['I Got Cha Opin', 'Black Moon']"
"[""I'm Ready"", 'Tevin Campbell']"
"['Come With Me', 'Shai']"
"['Can You Feel The Love Tonight (From ""The Lion King"")', 'Elton John']"
"['Tomorrow (A Better You, Better Me)', 'Quincy Jones With Tevin Campbell']"
"['Be My Lover', 'La Bouche']"
"['So Much More', 'Fat Joe']"
"['Re-arranged', 'Limp Bizkit']"
"['Break It Down Again', 'Tears For Fears']"
"['Okay', 'Nivea Featuring Lil Jon & YoungBloodZ']"
"['O', 'Omarion']"
"[""This Lil' Game We Play"", 'Subway (Featuring 702)']"
"['Everyday & Everynight', 'Yvette Michele']"
"['Changed', 'Rascal Flatts']"
"['This Girl', ""Kungs vs Cookin' On 3 Burners""]"
"['Celebrity Skin', 'Hole']"
"['Feels So Good', 'Xscape']"
"['I Will Love Again', 'Lara Fabian']"
"['Promises', 'Calvin Harris & Sam Smith']"
"['A Thousand Years', 'Christina Perri']"
"['These Are The Days', 'O-Town']"
"['Jet Lag', 'Future & Juice WRLD Featuring Young Scooter']"
"[""No One's Gonna Change You"", 'Reina']"
"[""Devil's Haircut"", 'Beck']"
"[""Ain't Worried About Nothin"", 'French Montana']"
"['Love Of A Lifetime', 'Firehouse']"
"['Birthday Song', '2 Chainz Featuring Kanye West']"
"['Fidelity', 'Regina Spektor']"
"['No Letting Go', 'Wayne Wonder']"
"['As Long As I Can Dream', 'Expose']"
"[""What's Up"", '4 Non Blondes']"
"['The Middle', 'Jimmy Eat World']"
"['Just Another Dream', 'Cathy Dennis']"
"['Someone To Love You', 'Ruff Endz']"
"['Love On My Mind', 'Xscape']"
"['Ms. Jackson', 'OutKast']"
"['Love The Way', 'EOL']"
"['Wins & Losses', 'Meek Mill']"
"['Bridging The Gap', 'Nas Featuring Olu Dara']"
"['Love Song', 'Sara Bareilles']"
"['Rap God', 'Eminem']"
"['Love Drunk', 'Boys Like Girls']"
"['I Fall Apart', 'Post Malone']"
"['Around The World', 'Daft Punk']"
"[""We Takin' Over"", ""DJ Khaled Featuring T.I., Akon, Rick Ross, Fat Joe, Lil' Wayne & Baby""]"
"['Axel F', 'Crazy Frog']"
"['Close Friends', 'Lil Baby']"
"['Another Sad Love Song', 'Toni Braxton']"
"['Take A Little Ride', 'Jason Aldean']"
"['Maybe I Deserve', 'Tank']"
"['Get Low', 'Lil Jon & The East Side Boyz Featuring Ying Yang Twins']"
"['Second Chance', 'Shinedown']"
"['Good Life', 'Kanye West Featuring T-Pain']"
"['Highwire', 'The Rolling Stones']"
"['Brighter Than The Sun', 'Colbie Caillat']"
"['Set The Night To Music', 'Roberta Flack With Maxi Priest']"
"['Scream & Shout', 'will.i.am & Britney Spears']"
"['Everything You Want', 'Ray J']"
"['Filthy', 'Justin Timberlake']"
"['Birthday Cake', 'Rihanna Featuring Chris Brown']"
"['Eastside', 'benny blanco, Halsey & Khalid']"
"['You And Your Friends', 'Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign']"
"['Moolah', 'Young Greatness']"
"['Unstoppable', 'Rascal Flatts']"
"['Unconditional Love (From ""Menace II Society"")', 'Hi-Five']"
"['Out Of The Woods', 'Taylor Swift']"
"['Crazier', 'Taylor Swift']"
"['Simple Life', 'Carolyn Dawn Johnson']"
"['Been Around The World', 'Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase)']"
"['Laid', 'James']"
"['Rude Boy', 'Rihanna']"
"['Chrome', 'Trace Adkins']"
"['Scary Monsters And Nice Sprites', 'Skrillex']"
"['Lost Boy', 'Ruth B']"
"['My Baby Mama', 'QT']"
"['Harmless', 'Mulberry Lane']"
"['Lithium', 'Nirvana']"
"['Realize', 'Colbie Caillat']"
"[""She's Kinda Hot"", '5 Seconds Of Summer']"
"['I Love You', 'Vanilla Ice']"
"['Someday (From ""The Hunchback Of Notre Dame"")', 'All-4-One']"
"['Taking Everything', 'Gerald Levert']"
"['House Keeper', 'Men Of Vizion']"
"['So Help Me Girl', 'Joe Diffie']"
"['Girls Around The World', 'Lloyd Featuring Lil Wayne']"
"['Dangerous', 'Meek Mill Featuring Jeremih & PnB Rock']"
"['Because Of Love', 'Janet Jackson']"
"['Every Time I Close My Eyes', 'Babyface']"
"['Jamboree', 'Naughty By Nature Featuring Zhane']"
"['Only Time', 'Enya']"
"['Yeah Boy', 'Kelsea Ballerini']"
"['Safe + Sound', 'DJ Quik']"
"['She Wolf', 'Shakira']"
"['Stairway To Heaven', 'Pure Soul']"
"['Mambo No. 5 (A Little Bit Of...)', 'Lou Bega']"
"['Read Your Mind', 'Avant']"
"['Yeah Ya Know (Takers)', 'T.I.']"
"['Coming Home', 'Keith Urban Featuring Julia Michaels']"
"['Love Is Alive', '3rd Party']"
"[""Me And Those Dreamin' Eyes Of Mine"", ""D'Angelo""]"
"['Come Over', 'Aaliyah']"
"[""I'll Wait For You"", 'Joe Nichols']"
"['White Walls', 'Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis']"
"['One Night At A Time', 'George Strait']"
"['Royals', 'Lorde']"
"['Silly Ho', 'TLC']"
"['Another Like My Lover', 'Jasmine Guy']"
"['Always', 'Bon Jovi']"
"['In A Real Love', 'Phil Vassar']"
"['Love Yourself', 'Justin Bieber']"
"['Where Are U Now', 'Skrillex & Diplo With Justin Bieber']"
"[""90's Girl"", 'Blackgirl']"
"['Cantaloop (Flip Fantasia)', 'US3']"
"['Crooked Smile', 'J. Cole Featuring TLC']"
"[""You Should've Told Me"", 'Kelly Price']"
"['Change', 'Lisa Stansfield']"
"['Out Here Grindin', ""DJ Khaled Feat. Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie""]"
"['My Next Thirty Years', 'Tim McGraw']"
"['Teardrops On My Guitar', 'Taylor Swift']"
"['2 Phones', 'Kevin Gates']"
"[""I Don't Want To Miss A Thing"", 'Aerosmith']"
"['Roll Wit M.V.P. (We Be Like! The La La Song)', 'Stagga Lee']"
"['Nick Of Time', 'Bonnie Raitt']"
"['Everything', 'Alanis Morissette']"
"[""I'm In A Philly Mood"", 'Daryl Hall']"
"['Looking For You', 'Kirk Franklin']"
"['Ball', 'T.I. Featuring Lil Wayne']"
"['Burn', 'Militia']"
"[""Money Ain't A Thang"", 'JD Featuring Jay-Z']"
"[""U Can't Touch This"", 'M.C. Hammer']"
"['Lollipop (Candyman)', 'Aqua']"
"['Move', 'Luke Bryan']"
"[""You'll Be In My Heart"", 'Phil Collins']"
"[""I Can't Sleep"", 'Clay Walker']"
"['X', '21 Savage & Metro Boomin Featuring Future']"
"['Take A Back Road', 'Rodney Atkins']"
"['Hit Or Miss', 'Jacob Sartorius']"
"[""She's Country"", 'Jason Aldean']"
"[""Tonight I'm Getting Over You"", 'Carly Rae Jepsen Featuring Nicki Minaj']"
"[""You Don't Have To Worry"", 'Mary J. Blige']"
"[""Can't Raise A Man"", 'K. Michelle']"
"['Him & I', 'G-Eazy & Halsey']"
"['I Will Possess Your Heart', 'Death Cab For Cutie']"
"[""I'm Single"", 'Lil Wayne']"
"['Ride', 'SoMo']"
"['Touch My Body', 'Mariah Carey']"
"[""Are We Cuttin'"", 'Pastor Troy Featuring Ms. Jade']"
"['No Worries', 'Lil Wayne Featuring Detail']"
"[""That's What It's All About"", 'Brooks & Dunn']"
"['Alcohol', 'Brad Paisley']"
"['Never Gonna Let You Go', 'Faith Evans']"
"['Love Drought', 'Beyonce']"
"['I Met A Girl', 'William Michael Morgan']"
"['Top Of The World', 'Van Halen']"
"['You Used To Love Me', 'Faith Evans']"
"['Last Day Of My Life', 'Phil Vassar']"
"['U Will Know (From ""Jason\'s Lyric"")', 'B.M.U. (Black Men United)']"
"['Make It Happen', 'Mariah Carey']"
"['Superstar', 'Charm Farm']"
"[""Don't Let Me Down"", 'The Chainsmokers Featuring Daya']"
"[""(Now You See Me) Now You Don't"", 'Lee Ann Womack']"
"['Princess Of China', 'Coldplay Featuring Rihanna']"
"['Sin So Well', 'Rebekah']"
"['Sick Of Myself', 'Matthew Sweet']"
"['Finally Found You', 'Enrique Iglesias Featuring Sammy Adams']"
"['I Cry', ""Ja Rule Featuring Lil' Mo""]"
"['Take Me Home', 'Cash Cash Featuring Bebe Rexha']"
"['Westside Story', 'The Game Featuring 50 Cent']"
"['Olivia', 'One Direction']"
"['Love You Out Loud', 'Rascal Flatts']"
"[""All I'm Missing Is You"", 'Glenn Medeiros Featuring Ray Parker, Jr.']"
"['The Keeper Of The Stars', 'Tracy Byrd']"
"['3 Peat', 'Lil Wayne']"
"['Better Days', 'WC Featuring Jon B.']"
"['Icky Thump', 'The White Stripes']"
"['How Many Licks?', ""Lil' Kim Featuring Sisqo""]"
"['R.I.C.O.', 'Meek Mill Featuring Drake']"
"['Love Done Gone', 'Billy Currington']"
"['Hole In My Soul', 'Aerosmith']"
"['What\'s Love Got To Do With It (From ""Supercop"")', 'Warren G Featuring Adina Howard']"
"[""You Don't Own Me"", 'Grace Featuring G-Eazy']"
"['Lately', 'Divine']"
"['This Is How We Do It', 'Montell Jordan']"
"['No Myth', 'Michael Penn']"
"['Closer', 'Remedy']"
"['Hey Papi', 'Jay-Z Featuring Memphis Bleek & Amil']"
"['Here Comes Goodbye', 'Rascal Flatts']"
"['Live For The Night', 'Krewella']"
"['Who You Wit (From ""Sprung"")', 'JAY-Z']"
"['El Farsante', 'Ozuna & Romeo Santos']"
"['Nothing Compares 2 U', ""Sinead O'Connor""]"
"['A Guy With A Girl', 'Blake Shelton']"
"['Unskinny Bop', 'Poison']"
"[""I Don't Know Anybody Else"", 'Black Box']"
"['Pon De River, Pon De Bank', 'Elephant Man']"
"['Never Gonna Be Alone', 'Nickelback']"
"['History', 'One Direction']"
"['Miss You', 'Aaliyah']"
"['Nobody Does It Better', 'Nate Dogg Featuring Warren G']"
"['Little Drummer Boy', 'Pentatonix']"
"['Buzzkill', 'Luke Bryan']"
"['If Everyone Cared', 'Nickelback']"
"['No Complaints', 'Metro Boomin Featuring Offset & Drake']"
"['Come On Over', 'Shania Twain']"
"['Got Your Money', ""Ol' Dirty Bastard Featuring Kelis""]"
"['Stay', 'Zedd & Alessia Cara']"
"['The Climb', 'Miley Cyrus']"
"[""Don't Forget"", 'Demi Lovato']"
"['Drummer Boy', 'Justin Bieber Featuring Busta Rhymes']"
"[""Highway Don't Care"", 'Tim McGraw With Taylor Swift']"
"['Lullabye (Goodnight, My Angel)', 'Billy Joel']"
"['Angelia', 'Richard Marx']"
"['Craving You', 'Thomas Rhett Featuring Maren Morris']"
"['Make Me...', 'Britney Spears Featuring G-Eazy']"
"['False Prophets', 'J. Cole']"
"['Juice (Know The Ledge)', 'Eric B. & Rakim']"
"['If I Lose Myself', 'OneRepublic']"
"['She Bangs', 'Ricky Martin']"
"['Make It Hot', 'Nicole Featuring Missy ""Misdemeanor"" Elliott & Mocha']"
"['Little Bit Of You', 'Chase Bryant']"
"['You Gotta Believe', 'Marky Mark & The Funky Bunch']"
"[""The Boomin' System"", 'LL Cool J']"
"['Single For The Rest Of My Life', 'Isyss']"
"['Lick U Up', 'H-Town']"
"['Pursuit Of Happiness (Nightmare)', 'Kid Cudi Featuring MGMT & Ratatat']"
"['I Bet My Life', 'Imagine Dragons']"
"['American Saturday Night', 'Brad Paisley']"
"['Going Home', 'Kenny G']"
"[""Everybody's Got Somebody But Me"", 'Hunter Hayes Featuring Jason Mraz']"
"['It Must Be Love', 'Ty Herndon']"
"['Let It Go', 'Idina Menzel']"
"['Stars', 'Simply Red']"
"['I Do', 'Young Jeezy Featuring Jay-Z & Andre 3000']"
"['Noticed', 'Lil Mosey']"
"[""What's It Gonna Be?!"", 'Busta Rhymes Featuring Janet']"
"['Mercy', 'Duffy']"
"['Gonna Make You Sweat (Everybody Dance Now)', 'C+C Music Factory']"
"['Flex', 'Mad Cobra']"
"['Until The End Of Time', 'Foreigner']"
"['Fireball', 'Pitbull Featuring John Ryan']"
"['Always And Forever', 'Whistle']"
"['Home Alone Tonight', 'Luke Bryan Featuring Karen Fairchild']"
"['Stanky Legg', 'GS Boyz']"
"['Gangsta\'s Paradise (From ""Dangerous Minds"")', 'Coolio Featuring L.V.']"
"['21 Guns', 'Green Day']"
"[""'Til You Do Me Right"", 'After 7']"
"[""I Don't Wanna Live Forever (Fifty Shades Darker)"", 'Zayn / Taylor Swift']"
"['Good Life', 'G-Eazy & Kehlani']"
"['Put It On Ya', 'Plies Featuring Chris J']"
"['Only In America', 'Brooks & Dunn']"
"['Fly High Michelle', ""Enuff Z'Nuff""]"
"['Praying For Time', 'George Michael']"
"['Far Away', 'Nickelback']"
"['A Thousand Miles', 'Vanessa Carlton']"
"[""Ain't Back Yet"", 'Kenny Chesney']"
"['Mother', 'Danzig']"
"['Iesha', 'Another Bad Creation']"
"['Scatman (Ski-Ba-Bop-Ba-Dop-Bop)', 'Scatman John']"
"['All Around The World', 'Lisa Stansfield']"
"['How Forever Feels', 'Kenny Chesney']"
"['Baby Be There', 'Nu Flavor']"
"['Best Of You', 'Foo Fighters']"
"['Paris', 'The Chainsmokers']"
"[""If This Isn't Love"", 'Jennifer Hudson']"
"['A Real Fine Place To Start', 'Sara Evans']"
"['The Best Man I Can Be', 'Ginuwine, R.L., Tyrese, Case']"
"['Keep Holding On', 'Avril Lavigne']"
"[""Merry Go 'round"", 'Kacey Musgraves']"
"['No Matta What (Party All Night)', 'Toya']"
"['Somebody Love Me', 'Michael W. Smith']"
"['Might Not', 'Belly Featuring The Weeknd']"
"['Shake It Off', 'Taylor Swift']"
"[""Don't Let Me Get Me"", 'P!nk']"
"['I Wonder', 'Kellie Pickler']"
"['Monica', 'Before Dark']"
"['Roses', 'benny blanco & Juice WRLD Featuring Brendon Urie']"
"['NASA', 'Ariana Grande']"
"['The Fox', 'Ylvis']"
"['Just A Kiss', 'Lady Antebellum']"
"['Whatever You Like', 'T.I.']"
"['Crush', 'Jennifer Paige']"
"['Heartless', 'Kanye West']"
"['Hardaway', ""Derez De'Shon""]"
"['Young And Beautiful', 'Lana Del Rey']"
"[""She Won't Be Lonely Long"", 'Clay Walker']"
"['I Love This Life', 'LOCASH']"
"['Girlfriend/Boyfriend', 'BLACKstreet With Janet']"
"['You Learn/You Oughta Know', 'Alanis Morissette']"
"['Love Me Right (Oh Sheila)', 'Angel City Featuring Lara McAllen']"
"['Sleeping With A Friend', 'Neon Trees']"
"['I Want Crazy', 'Hunter Hayes']"
"['Not Today', 'Mary J. Blige Featuring Eve']"
"['What About Love', 'Austin Mahone']"
"['Wasted Time', 'Skid Row']"
"[""But It's Alright"", 'Huey Lewis & The News']"
"['Return To Innocence', 'Enigma']"
"['So Fine', 'Sean Paul']"
"['La La La', 'Auburn Featuring Iyaz']"
"['Over You', 'Miranda Lambert']"
"['Never Say Never', 'Justin Bieber Featuring Jaden Smith']"
"[""Somebody's Crying"", 'Chris Isaak']"
"['Lolli Lolli (Pop That Body)', 'Three 6 Mafia Featuring Project Pat, Young D & Superpower']"
"[""Free Fallin'"", 'John Mayer']"
"[""Ice Cream Freeze (Let's Chill)"", 'Hannah Montana']"
"['Celebrity', 'Brad Paisley']"
"['Speechless', 'Lady Gaga']"
"['Tonight I Wanna Cry', 'Keith Urban']"
"['Bend Ova', 'Lil Jon Featuring Tyga']"
"['Last Night On Earth', 'U2']"
"['One Thing', 'Finger Eleven']"
"['Woman To Woman', 'Jewell']"
"[""You're A God"", 'Vertical Horizon']"
"['Never Again', 'Kelly Clarkson']"
"['From Time', 'Drake Featuring Jhene Aiko']"
"['Ella Quiere Beber', 'Anuel AA & Romeo Santos']"
"['Get With U', 'Lidell Townsell & M.T.F.']"
"['Elevators (Me & You)', 'OutKast']"
"['Dirty Dancer', 'Enrique Iglesias With Usher Featuring Lil Wayne']"
"['Thugz Mansion', '2Pac']"
"['Just A Fool', 'Christina Aguilera With Blake Shelton']"
"['Party', 'Beyonce Featuring Andre 3000']"
"['Stand', 'Rascal Flatts']"
"['Gangsta Girl', 'Big Tymers Featuring R. Kelly']"
"['Oh Yeah!', 'Big Tymers Featuring Tateeze, Boo & Gotti']"
"['The Right Time (From ""Four Weddings And A Funeral"")', 'I To I']"
"['Secret Garden', 'Bruce Springsteen']"
"['Hey Porsche', 'Nelly']"
"['You Should Be Here', 'Cole Swindell']"
"['Homecoming', 'Kanye West Featuring Chris Martin']"
"['Then The Morning Comes', 'Smash Mouth']"
"['Keep Your Mind Wide Open', 'AnnaSophia Robb']"
"['On Point', 'House Of Pain']"
"[""U Send Me Swingin'"", 'Mint Condition']"
"['Come In With The Rain', 'Taylor Swift']"
"['Tic-Tac-Toe', 'Kyper']"
"['Beautiful', 'Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson']"
"['I Say A Little Prayer', 'Diana King']"
"[""I'd Lie For You (And That's The Truth)"", 'Meat Loaf']"
"['Church Of Your Heart', 'Roxette']"
"[""What's My Name"", 'China Anne McClain, Thomas Doherty & Dylan Playfair']"
"['3 A.M. Eternal', 'The KLF']"
"['Pop That Booty', 'Marques Houston Featuring Jermaine ""JD"" Dupri']"
"[""Little Miss Can't Be Wrong"", 'Spin Doctors']"
"['Must Be Nice', 'Lyfe Jennings']"
"['Wat U Mean (Aye, Aye, Aye)', 'Dae Dae']"
"['Oh', 'Ciara Featuring Ludacris']"
"['House Of Fire', 'Alice Cooper']"
"['Walk Away', 'Kelly Clarkson']"
"['E.T.', 'Katy Perry Featuring Kanye West']"
"[""She's With Me"", 'High Valley']"
"['Sweet Sexy Thing', 'Nu Flavor Featuring Roger']"
"['Genie In A Bottle', 'Christina Aguilera']"
"['Two Black Cadillacs', 'Carrie Underwood']"
"[""Whatcha Gonna Do With My Lovin'"", 'Inner City']"
"['The Things That You Do', 'Gina Thompson']"
"['Pocketful Of Sunshine', 'Natasha Bedingfield']"
"['Third Rock From The Sun', 'Joe Diffie']"
"[""It's Good To Be Us"", 'Bucky Covington']"
"[""Could've Been Me"", 'Billy Ray Cyrus']"
"['Try Sleeping With A Broken Heart', 'Alicia Keys']"
"[""Bump N' Grind"", 'R. Kelly']"
"['Magic Carpet Ride', 'The Mighty Dub Katz']"
"['Almost Home', 'Mary Chapin Carpenter']"
"['Going Bad', 'Meek Mill Featuring Drake']"
"['Ask Of You (From ""Higher Learning"")', 'Raphael Saadiq']"
"['Dance With Me', '112']"
"[""Ain't Nuthin' But A She Thing"", 'Salt-N-Pepa']"
"['Some Cut', 'Trillville Featuring Cutty']"
"['Without Love', 'Donna Lewis']"
"['More Girls Like You', 'Kip Moore']"
"['Buddy X', 'Neneh Cherry']"
"['Dance Into The Light', 'Phil Collins']"
"['Toothbrush', 'DNCE']"
"['66', 'Lil Yachty Featuring Trippie Redd']"
"['What Do Ya Think About That', 'Montgomery Gentry']"
"[""What's The Frequency, Kenneth?"", 'R.E.M.']"
"['Mentirosa', 'Mellow Man Ace']"
"['Coming Home', 'Diddy - Dirty Money Featuring Skylar Grey']"
"['Wings Of The Morning', 'Capleton']"
"['Cuando Me Enamoro', 'Enrique Iglesias Featuring Juan Luis Guerra']"
"['Stupid Hoe', 'Nicki Minaj']"
"[""I Don't Wanna"", 'Aaliyah']"
"['My Boo', 'Usher And Alicia Keys']"
"['Run Me Dry', 'Bryson Tiller']"
"['Snow ((Hey Oh))', 'Red Hot Chili Peppers']"
"['Missing You (From ""Set It Off"")', 'Brandy, Tamia, Gladys Knight & Chaka Khan']"
"['Hot Mama', 'Trace Adkins']"
"['Bag Of Money', 'Wale Featuring Rick Ross, Meek Mill & T-Pain']"
"['Cover Girl', 'New Kids On The Block']"
"['Anything Like Me', 'Brad Paisley']"
"['Tender Lover', 'Babyface']"
"['Piece Of Me', 'Britney Spears']"
"['Hook', 'Blues Traveler']"
"['Deep Inside', 'Mary J. Blige']"
"['All True Man', ""Alexander O'Neal""]"
"['Sugar Honey Ice Tea', 'Goodfellaz']"
"['I Think God Can Explain', 'Splender']"
"['Gone, Gone, Gone', 'Phillip Phillips']"
"['Real Love', 'Slaughter']"
"['Glycerine', 'Bush']"
"['Pets', 'Porno For Pyros']"
"['Tough Little Boys', 'Gary Allan']"
"['House Full Of Reasons', 'Jude Cole']"
"['Young Forever', 'Jay-Z + Mr. Hudson']"
"['Uhh Ahh', 'Boyz II Men']"
"['Good Drank', '2 Chainz x Gucci Mane x Quavo']"
"['halfcrazy', 'Musiq']"
"['Narcos', 'Migos']"
"['Only God Knows Why', 'Kid Rock']"
"['Sacrifices', 'Drake Featuring 2 Chainz & Young Thug']"
"['Love And War', 'Tamar Braxton']"
"['On My Level', 'Wiz Khalifa Featuring Too $hort']"
"['Bang My Head', 'David Guetta Featuring Sia & Fetty Wap']"
"['Otis', 'Jay Z Kanye West Featuring Otis Redding']"
"['I Drive Your Truck', 'Lee Brice']"
"['Sidewalks', 'The Weeknd Featuring Kendrick Lamar']"
"['The River Of Dreams', 'Billy Joel']"
"['The Real Love', 'Bob Seger & The Silver Bullet Band']"
"['Hey Mama', 'David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack']"
"['Without You', 'Motley Crue']"
"['I Saw Red', 'Warrant']"
"['Slam Dunk', 'Five']"
"['Thinking Out Loud', 'Ed Sheeran']"
"['The Floor', 'Johnny Gill']"
"[""That's Why I Pray"", 'Big & Rich']"
"['Change Me', 'Ruben Studdard']"
"['All Eyez', 'The Game Featuring Jeremih']"
"['SuperThug (What What)', 'Noreaga']"
"['Whatchulookinat', 'Whitney Houston']"
"['Give A Little Bit', 'Goo Goo Dolls']"
"['In The End', 'Linkin Park']"
"['Hood Figga', 'Gorilla Zoe']"
"['I Found Love', 'The Party']"
"[""When You're Mad"", 'Ne-Yo']"
"[""I Can't Wait"", 'Sleepy Brown Featuring OutKast']"
"['Rubber Band Man', 'T.I.']"
"['Style', 'Taylor Swift']"
"[""Leavin'"", 'Tony Toni Tone']"
"['Baby You Know', ""The O'Jays""]"
"['I Apologize', 'Anita Baker']"
