title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections,hit
Tear It Up,Jeezy,72,0.736,0.662,11,-10.206,0,0.278,0.0168,0,0.276,0.45,82.016,269387,4,24.21682,7,1
Last Call,Lee Ann Womack,54,0.568,0.602,6,-6.951,1,0.0322,0.797,0.000501,0.0863,0.391,79.985,195467,4,19.95118,7,1
The World Is a Ghetto,Geto Boys,56,0.795,0.522,5,-7.806,0,0.174,0.111,0,0.359,0.634,84.021,264093,4,45.6822,12,1
She Talks To Angels,The Black Crowes,60,0.586,0.514,4,-5.772,1,0.0283,0.0553,5.04E-05,0.202,0.334,160.094,329600,4,32.28911,16,1
My Everything,Ariana Grande,100,0.54,0.265,11,-5.307,1,0.0297,0.88,0,0.131,0.423,61.975,168520,4,51.34264,5,1
Nothin' on You (feat. Bruno Mars),B.o.B,74,0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,103.993,268320,4,30.09171,11,1
Where Ya At,Future,90,0.813,0.453,1,-6.941,1,0.338,0.0933,0,0.14,0.191,161.997,208027,4,87.15384,10,1
Get Low - W&W Remix,Dillon Francis,69,0.458,0.933,1,-3.653,0,0.173,0.00233,0.0233,0.491,0.289,128.004,213507,4,44.51079,8,1
Love On The Brain,Rihanna,89,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08E-05,0.0789,0.378,172.006,224000,3,25.44302,11,1
All That She Wrote,Imok,0,0.709,0.666,11,-6.395,0,0.0314,0.0426,2.64E-05,0.133,0.54,144.021,217156,4,69.69937,10,1
Single,Natasha Bedingfield,66,0.621,0.644,2,-5.624,1,0.115,0.0466,0,0.549,0.526,168.015,237600,4,34.20135,11,1
Nothing Left To Lose,Mat Kearney,62,0.445,0.71,4,-6.819,1,0.0275,0.103,6.14E-05,0.169,0.468,148.011,263253,4,27.09863,12,1
Ordinary World,Duran Duran,68,0.472,0.652,1,-10.171,0,0.0305,0.0131,1.12E-05,0.14,0.401,140.124,340200,4,66.99943,14,1
Trust Fund Baby,Why Don't We,78,0.624,0.785,8,-3.337,1,0.0498,0.0629,0,0.135,0.593,163.929,184460,4,18.54296,10,1
True Colors,The Weeknd,89,0.624,0.424,1,-8.237,1,0.24,0.284,0,0.173,0.584,76.669,206013,4,25.78156,6,1
How Long,Charlie Puth,81,0.845,0.561,1,-5.253,0,0.0778,0.211,3.49E-06,0.0383,0.811,109.974,200853,4,25.6548,9,1
Goodbye,Who Is Fancy,48,0.712,0.694,5,-6.621,1,0.0479,0.05,0.000377,0.0904,0.643,114.975,206213,4,22.23238,11,1
No Pressure,Justin Bieber,87,0.649,0.611,1,-6.865,1,0.22,0.115,0,0.293,0.524,148.952,286853,3,28.00782,14,1
Headlights,Eminem,92,0.688,0.782,11,-3.683,1,0.158,0.152,0,0.803,0.453,146.324,343032,4,25.68808,15,1
Break 'Em Off Somethin',Master P,55,0.798,0.735,1,-6.288,1,0.264,0.0285,0,0.0903,0.463,82.14,282160,4,24.81008,13,1
It Was A Good Day,Ice Cube,73,0.796,0.748,5,-5.409,0,0.126,0.321,4.94E-05,0.217,0.802,82.384,260000,4,36.28158,12,1
U Got It Bad,Usher,80,0.816,0.5,1,-4.551,1,0.03,0.0227,1.53E-06,0.0733,0.649,124.037,247840,4,31.54644,12,1
All Falls Down,Kanye West,89,0.643,0.717,8,-4.876,0,0.506,0.184,0,0.152,0.46,90.893,223507,4,41.71954,9,1
Tonight I’m Getting Over You,Carly Rae Jepsen,71,0.709,0.768,10,-5.238,1,0.0421,0.0067,0.000778,0.345,0.141,125.964,219213,4,63.36408,7,1
Every Step That I Take (feat. Portugal. The Man and Whethan),Tom Morello,56,0.53,0.764,0,-6.164,1,0.22,0.0113,1.12E-06,0.461,0.539,140.092,222229,4,17.80092,10,1
Achy Breaky Heart,Billy Ray Cyrus,56,0.766,0.725,9,-6.36,1,0.0294,0.0561,0,0.0942,0.963,121.797,204960,4,54.28411,10,1
Hip Hop Hooray,Naughty By Nature,60,0.862,0.642,6,-13.652,0,0.101,0.102,0,0.272,0.765,99.201,267267,4,48.90655,8,1
Privacy,Chris Brown,88,0.741,0.58,0,-7.741,1,0.378,0.153,0,0.109,0.428,97.092,220964,4,26.59005,8,1
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,88,0.662,0.873,0,-3.116,0,0.0395,0.0292,0,0.224,0.592,129.902,210081,4,32.9913,9,1
Strong,One Direction,82,0.741,0.663,0,-7.308,1,0.0434,0.0608,0,0.0931,0.338,115.013,184373,4,47.37878,9,1
The Real Love,Bob Seger,68,0.721,0.546,5,-6.845,1,0.0269,0.0362,0.00487,0.114,0.612,115.387,279867,4,37.51155,10,1
Outrageous,Britney Spears,79,0.828,0.662,7,-6.419,1,0.0461,0.0394,2.02E-05,0.191,0.847,105.014,201907,4,61.99474,8,1
Let Me Hold You (Turn Me On),Cheat Codes,79,0.681,0.774,1,-3.167,0,0.0787,0.0992,0,0.35,0.267,102.924,162425,4,24.41832,10,1
You Mean The World To Me,Toni Braxton,65,0.595,0.736,11,-6.648,1,0.0469,0.0964,9.28E-06,0.104,0.521,167.669,296400,4,28.32539,18,1
Too Hot,Coolio,65,0.845,0.407,7,-14.983,1,0.203,0.089,0.00985,0.222,0.576,102.598,218933,4,31.92883,9,1
The Knoc (feat. Dr. Dre & Missy Elliott),Knoc-Turn'al,49,0.886,0.471,10,-5.732,0,0.206,0.0169,0,0.0883,0.907,89.624,250267,4,78.31985,10,1
Poker Face (Glee Cast Version featuring Idina Menzel),Glee Cast,74,0.467,0.195,4,-9.281,1,0.0656,0.924,0,0.138,0.288,75.896,219613,4,32.88048,11,1
Missing You,Brandy,66,0.581,0.505,4,-5.434,1,0.0309,0.231,0,0.142,0.131,135.594,252494,4,39.15006,11,1
Guardian angel,XXXTENTACION,95,0.712,0.374,0,-10.215,0,0.511,0.795,0,0.187,0.779,133.952,108035,4,17.38798,7,1
Candy,Mandy Moore,65,0.818,0.849,7,-4.185,1,0.0905,0.164,4.36E-05,0.165,0.638,100.503,234373,4,24.09107,7,1
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,68,0.414,0.679,2,-5.522,1,0.046,0.503,4.99E-06,0.118,0.354,111.937,195533,4,25.47255,6,1
Climb Every Mountain - The Voice Performance,Jordan Smith,54,0.216,0.493,6,-5.356,1,0.0287,0.415,5.15E-05,0.147,0.345,100.921,190440,4,37.89978,12,1
King Without a Crown,Matisyahu,61,0.697,0.859,5,-5.306,0,0.19,0.0349,0,0.0931,0.696,93.78,222387,4,48.66173,11,1
Unforgettable,French Montana,84,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,233902,4,25.7625,10,1
Calabria 2008,Enur,48,0.888,0.666,10,-5.547,0,0.163,0.0077,0.00156,0.0555,0.464,125.993,230733,4,77.26698,9,1
Testimony,Kodak Black,89,0.814,0.667,6,-4.785,0,0.36,0.0369,0,0.11,0.376,80.031,240000,4,25.56401,12,1
The Hand Clap - MAIN,Hurricane Chris,43,0.805,0.723,7,-6.808,1,0.224,0.00679,0,0.244,0.641,88.006,261827,4,23.89865,15,1
Cool,Gwen Stefani,72,0.707,0.726,2,-3.515,1,0.0279,0.0315,0.000221,0.359,0.809,112.026,189280,4,37.65749,9,1
Dream On,Aerosmith,77,0.307,0.433,1,-10.057,1,0.029,0.388,9.08E-05,0.332,0.224,160.9,266960,4,33.13032,14,1
Stepped On My J'z,Nelly,75,0.692,0.776,4,-4.374,0,0.0791,0.118,0,0.185,0.732,79.02,277360,4,86.65127,11,1
Written in the Sand,Old Dominion,72,0.725,0.437,6,-9.602,1,0.0575,0.593,0,0.0842,0.759,83.985,184080,4,34.47463,8,1
The Fear,Lily Allen,71,0.661,0.847,10,-6.948,1,0.0404,0.419,8.82E-05,0.107,0.522,134.002,207120,4,22.45476,8,1
Nobody Home,Pink Floyd,81,0.251,0.148,0,-21.056,1,0.0431,0.71,0.432,0.106,0.0569,208.486,203361,4,40.27659,7,1
Follow Me,Uncle Kracker,61,0.817,0.585,5,-4.688,1,0.0301,0.439,0,0.147,0.916,105.014,218440,4,30.18458,10,1
Hella Good,No Doubt,68,0.783,0.684,8,-4.076,1,0.0346,0.0188,0.015,0.0851,0.822,115.141,242253,4,49.11363,11,1
Because I’m Awesome (Live),The Dollyrots,33,0.495,0.977,1,-4.792,0,0.0966,0.00758,0.0083,0.375,0.326,141.949,220024,4,32.05034,12,1
Try It On My Own,Whitney Houston,76,0.544,0.593,6,-5.887,1,0.0362,0.612,6.75E-06,0.146,0.139,135.877,280427,4,33.49273,11,1
Live From The Gutter,Drake,97,0.823,0.49,7,-8.391,1,0.429,0.0369,1.16E-06,0.0807,0.307,165.949,211643,4,25.50537,15,1
What Hurts The Most,Rascal Flatts,71,0.527,0.671,5,-5.032,0,0.0283,0.00842,0,0.268,0.331,136.03,214107,4,71.59375,7,1
You Don’t Know Me,Three Kings High,3,0.607,0.943,4,-5.021,1,0.0382,0.011,0,0.0824,0.638,145.006,233547,4,53.51262,10,1
Dive,Ed Sheeran,91,0.761,0.386,4,-6.158,1,0.0399,0.355,0,0.0953,0.526,134.943,238440,3,41.56373,11,1
Head Over Boots,Jon Pardi,70,0.557,0.676,7,-4.457,1,0.027,0.0661,0,0.0871,0.678,108.016,202347,4,19.09923,9,1
A Long Walk,Jill Scott,60,0.667,0.565,6,-9.452,0,0.316,0.0699,8.75E-05,0.112,0.281,76.165,280973,4,76.06825,12,1
DJ Turn It Up,Yellow Claw,70,0.829,0.695,1,-5.561,1,0.0473,0.000956,0.178,0.112,0.369,102.018,211777,4,37.64025,11,1
We Run The Night,Havana Brown,44,0.691,0.846,9,-4.322,0,0.174,0.00676,0,0.289,0.704,127.011,228200,4,30.78028,14,1
Little Good-Byes,SHeDAISY,37,0.579,0.728,8,-6.459,1,0.0315,0.109,4.71E-06,0.133,0.686,83.582,199750,4,20.2081,9,1
In the Closet,Michael Jackson,84,0.876,0.782,11,-3.777,0,0.0685,0.117,0.000721,0.149,0.622,110.494,390573,4,124.13994,13,1
Drop It Like It's Hot,Snoop Dogg,82,0.881,0.622,1,-4.149,1,0.215,0.187,0,0.103,0.633,91.989,266067,4,45.08452,12,1
Fight Song,Rachel Platten,67,0.564,0.714,7,-4.987,1,0.129,0.0549,0,0.155,0.33,175.924,204013,4,27.18364,10,1
Mayores,Becky G,85,0.743,0.855,5,-3.976,0,0.0436,0.141,0.0045,0.099,0.871,96.989,202453,4,27.01959,9,1
My Love Is The Shhh!,Somethin' For The People,29,0.779,0.715,2,-5.886,0,0.0368,0.297,0,0.157,0.621,126.036,281747,4,52.48035,13,1
This Is Me,Keala Settle,75,0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707,4,49.03105,10,1
Closer To Me,The Outfield,62,0.674,0.605,9,-12.423,1,0.0353,0.161,0.00129,0.114,0.811,120.972,197333,4,32.63899,9,1
I Do!!,Toya,52,0.781,0.583,6,-7.83,0,0.0628,0.0859,0.00216,0.058,0.91,156.264,213493,4,24.8497,11,1
I’m Glad I Danced With You (with Olivia) - Candlelight Mix,Engelbert Humperdinck,58,0.482,0.223,1,-9.5,1,0.0287,0.793,0,0.155,0.116,105.984,180003,3,51.88508,8,1
Sour Times (Nobody Loves Me),Julia Ward,17,0.691,0.481,1,-14.319,0,0.0361,0.00637,0.473,0.108,0.842,94.982,254420,4,37.71753,13,1
Just in Case,Jaheim,57,0.78,0.572,0,-6.797,1,0.0951,0.0618,0,0.0495,0.695,100.999,263866,4,42.82635,12,1
Diamond Teeth Samurai,YoungBoy Never Broke Again,84,0.799,0.659,10,-5.593,0,0.272,0.00451,0,0.13,0.256,177.957,162488,4,64.74552,6,1
Weston Road Flows,Drake,97,0.613,0.738,6,-6.926,1,0.311,0.0819,0,0.32,0.341,82.833,253533,4,23.20735,8,1
Hands Clean,Alanis Morissette,68,0.513,0.82,7,-5.428,1,0.0299,0.00192,2.83E-06,0.504,0.52,99.952,269400,4,64.50208,9,1
Because Of Love,Janet Jackson,68,0.764,0.878,5,-5.647,0,0.0523,0.287,0.00356,0.18,0.825,112.37,260907,4,25.84623,14,1
Rock Star,Hannah Montana,65,0.492,0.934,2,-3.822,1,0.125,0.00864,1.08E-06,0.289,0.637,160.877,178560,4,34.56143,10,1
Let Her Go,Passenger,74,0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.244,74.897,252733,4,53.79626,8,1
Levels,Nick Jonas,73,0.432,0.656,5,-4.669,0,0.428,0.0488,0,0.256,0.66,199.232,167693,4,23.38863,7,1
Ooops Up,SNAP!,58,0.862,0.493,4,-14.19,0,0.102,0.00857,0,0.26,0.533,102.886,402215,4,29.04983,16,1
I Lost It,Kenny Chesney,72,0.584,0.429,3,-9.289,1,0.028,0.23,0,0.0708,0.355,138.884,234160,4,25.78235,11,1
Birthday,Katy Perry,82,0.719,0.674,11,-5.122,1,0.0681,0.0879,3.75E-06,0.112,0.843,125.98,215042,4,26.53974,9,1
Live And Let Die,Guns N' Roses,80,0.262,0.777,11,-8.671,1,0.0632,0.0109,0.113,0.12,0.264,152.5,182733,4,30.97522,9,1
Little Miss,Sugarland,61,0.351,0.797,11,-4.286,1,0.0379,0.0959,4.12E-05,0.157,0.243,129.14,271267,5,30.5344,11,1
Funkytown,Alvin & The Chipmunks,50,0.807,0.742,0,-7.013,1,0.0563,0.000802,0.929,0.0812,0.285,123.037,214053,4,39.72022,10,1
Shot Clock,Ella Mai,80,0.512,0.512,4,-6.008,0,0.285,0.654,0,0.148,0.434,95.11,201609,1,50.57047,10,1
I Can't Wait,Sleepy Brown,58,0.845,0.632,10,-7.683,0,0.282,0.239,0,0.327,0.549,102.967,272547,4,49.07634,8,1
I Want It That Way,Scott Bradlee's Postmodern Jukebox,65,0.411,0.647,0,-6.254,0,0.0472,0.496,0,0.221,0.64,109.027,192290,4,46.15823,9,1
57 Channels (And Nothin' On),Bruce Springsteen,75,0.894,0.316,7,-18.975,1,0.0978,0.608,0.0153,0.111,0.64,132.061,145467,4,37.11863,7,1
Dangerously In Love,Beyoncé,85,0.609,0.407,6,-8.026,1,0.0808,0.345,0,0.19,0.459,99.982,293133,4,56.09492,11,1
Say You Won't Let Go,James Arthur,83,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,211467,4,30.53722,8,1
Girls & Boys,Good Charlotte,68,0.663,0.72,3,-5.497,1,0.0331,0.00212,0,0.358,0.608,135.342,183493,4,22.93602,9,1
A Feelin' Like That,Gary Allan,59,0.57,0.817,8,-8.35,1,0.0415,0.000502,1.29E-05,0.0844,0.487,113.466,210640,4,26.13275,11,1
There Is No Arizona,Jamie O'Neal,37,0.474,0.633,8,-5.951,0,0.0405,0.259,0,0.0984,0.321,167.96,237173,4,43.51103,12,1
Love Sneakin' Up On You,Bonnie Raitt,58,0.483,0.673,7,-8.105,1,0.0438,0.0217,6.53E-06,0.209,0.558,189.704,220733,4,29.24174,10,1
Imagination,Xymox,14,0.586,0.685,3,-11.221,1,0.0277,0.0318,0.0338,0.31,0.687,114.895,305133,4,34.75863,13,1
Nonstop,Drake,97,0.912,0.412,7,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,238614,4,24.01108,11,1
Blah Blah,Supreme Patty,53,0.793,0.489,10,-9.902,1,0.253,0.188,0,0.126,0.764,150.063,164665,4,44.83533,8,1
"So, What Would I Do",Joe Bonamassa,60,0.577,0.32,10,-7.795,1,0.0296,0.0911,0.000462,0.138,0.18,120.122,329427,3,19.27189,13,1
Sex & Candy,Marcy Playground,56,0.67,0.558,2,-9.159,1,0.0251,0.238,0,0.106,0.63,80.511,173493,4,41.44192,8,1
Night Changes,One Direction,82,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,226600,4,24.89191,12,1
Who Do You Love (with 5 Seconds of Summer),The Chainsmokers,88,0.51,0.835,3,-4.673,1,0.0447,0.00791,0,0.219,0.435,140.024,226747,4,35.25429,8,1
I Could Use a Love Song,Maren Morris,76,0.638,0.634,6,-6.474,1,0.0468,0.214,0,0.0866,0.473,92.097,196422,4,49.56391,11,1
Saturday Nights,Khalid,94,0.54,0.439,10,-8.591,1,0.115,0.635,1.93E-05,0.0993,0.371,167.908,209547,4,40.48488,10,1
Your Love Is A Song,Switchfoot,65,0.519,0.524,6,-4.082,0,0.0282,0.0305,0.00012,0.207,0.357,80.013,259987,4,30.19537,10,1
One Kiss (with Dua Lipa),Calvin Harris,89,0.791,0.862,9,-3.24,0,0.11,0.037,2.19E-05,0.0814,0.592,123.994,214847,4,22.27313,10,1
Just Clownin',WC,48,0.941,0.605,11,-3.11,0,0.287,0.17,2.33E-06,0.165,0.607,96.1,239467,4,30.18234,10,1
Promise,Ciara,72,0.697,0.629,9,-5.757,1,0.0425,0.409,3.80E-06,0.0819,0.439,123.279,267413,4,74.11307,9,1
My Maria,Brooks & Dunn,68,0.673,0.842,3,-4.627,1,0.0365,0.06,0.000257,0.184,0.897,125.571,207772,4,31.97347,9,1
For You,The Outfield,62,0.632,0.668,10,-9.106,1,0.0305,0.241,6.01E-05,0.195,0.646,118.893,267280,4,40.93197,9,1
Chief Rocka,Lords Of The Underground,50,0.89,0.716,1,-9.673,1,0.296,0.174,0.000589,0.0657,0.656,99.988,247400,4,43.71556,10,1
I Will Always Love You,Whitney Houston,76,0.306,0.214,4,-12.518,1,0.0356,0.844,5.30E-06,0.0839,0.108,66.98,271093,4,34.6764,11,1
Cowboy Take Me Away,Dixie Chicks,66,0.467,0.622,6,-7.255,1,0.031,0.365,0.00527,0.0982,0.455,164.418,287267,4,24.23904,15,1
To Love Somebody,Michael Bolton,66,0.367,0.353,11,-11.786,1,0.0288,0.335,0,0.1,0.282,74.103,247973,4,48.46113,9,1
Let Her Cry,Hootie & The Blowfish,61,0.352,0.698,7,-6.278,1,0.0303,0.0353,0,0.113,0.256,142.57,318533,4,24.03764,12,1
I Think I'm in Love with You,Jessica Simpson,54,0.715,0.815,9,-5.867,1,0.0576,0.0689,0,0.233,0.804,106.001,197693,4,23.49583,8,1
Everybody Wants to Go to Heaven,Kenny Chesney,72,0.702,0.695,11,-7.149,1,0.101,0.38,1.43E-05,0.659,0.559,137.728,252987,4,23.85662,10,1
La Raza,Kid Frost,40,0.801,0.529,1,-14.875,1,0.0962,0.0406,0.000609,0.0936,0.721,106.965,209067,4,44.03856,8,1
Baby Baby,Corona,57,0.639,0.869,7,-8.479,1,0.0311,0.00336,0.002,0.0576,0.562,133.033,228013,4,28.85257,11,1
I Can Only Imagine,MercyMe,63,0.407,0.612,4,-5.359,1,0.0496,0.0909,0,0.0914,0.133,159.527,248253,4,51.15042,7,1
Hold My Hand,Hootie & The Blowfish,61,0.22,0.769,11,-5.125,1,0.054,0.208,0,0.0985,0.495,170.773,258333,4,36.24855,8,1
I Live by the Groove,Paul Carrack,58,0.682,0.748,9,-10.862,0,0.036,0.0409,1.30E-05,0.103,0.933,122.847,252373,4,25.61033,12,1
After The Rain - Remastered 2017,Nelson,36,0.459,0.874,3,-5.865,1,0.0732,0.0163,0.000454,0.333,0.575,125.439,245862,4,38.8424,11,1
Poison,Alice Cooper,64,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85E-06,0.18,0.26,118.698,270080,4,38.8424,11,1
Bomdigi - Remix,Erick Sermon,50,0.733,0.611,7,-10.104,1,0.351,0.00373,1.07E-05,0.0707,0.809,91.109,213905,4,26.14514,8,1
Someday - Remastered,Sugar Ray,62,0.743,0.67,1,-4.547,0,0.0293,0.0108,0.0702,0.22,0.934,110.832,243333,4,25.36994,12,1
Why You Always Hatin?,YG,80,0.926,0.336,0,-9.326,0,0.594,0.0392,0,0.138,0.38,92.995,196600,4,42.6081,9,1
Woof Woof,ARTHUR,37,0.694,0.666,1,-6.382,0,0.112,0.0615,0.0256,0.209,0.793,199.995,83104,4,20.71301,6,1
Until The End Of Time (with Beyoncé),Justin Timberlake,81,0.56,0.372,2,-6.58,1,0.0446,0.272,0,0.196,0.473,119.189,322093,4,35.65447,12,1
Electric Relaxation (Relax Yourself Girl),A Tribe Called Quest,69,0.882,0.399,6,-13.136,1,0.276,0.233,0.526,0.121,0.851,98.232,224920,4,30.86377,10,1
Monday Morning Church,Alan Jackson,71,0.557,0.26,4,-15.062,1,0.0321,0.226,0,0.135,0.154,135.922,204467,4,29.36808,12,1
Moan And Groan,Mark Morrison,61,0.68,0.394,6,-11.833,0,0.0391,0.114,0.00145,0.0938,0.375,141.504,330200,4,52.48708,13,1
Better Days,The Goo Goo Dolls,71,0.486,0.592,7,-5.176,1,0.0298,0.00174,0.00114,0.0935,0.329,113.228,213267,4,39.44252,11,1
More Than A Memory,#1 Garth Brooks Tribute Band,28,0.543,0.342,1,-8.162,1,0.0304,0.555,0,0.115,0.244,137.292,216667,4,58.8351,10,1
Now And Forever,Richard Marx,63,0.441,0.258,7,-11.227,1,0.0276,0.661,0,0.106,0.172,77.988,214827,1,38.26672,11,1
The Truth,Jason Aldean,76,0.496,0.577,9,-5.305,1,0.0257,0.234,2.40E-06,0.109,0.381,143.014,238413,4,42.26902,12,1
Conceited (There's Something About Remy),Remy Ma,64,0.704,0.576,11,-7.711,1,0.477,0.214,0,0.188,0.586,124.955,219560,5,61.29176,9,1
Rough Water (feat. Jason Mraz),Travie McCoy,63,0.516,0.909,1,-3.988,0,0.22,0.167,0,0.552,0.472,169.972,219659,4,21.77864,12,1
Not Afraid,Eminem,92,0.855,0.954,0,-1.19,0,0.264,0.529,0,0.205,0.668,114.635,248133,5,60.88147,11,1
Lover I Don't Have To Love,Bright Eyes,61,0.516,0.714,9,-7.772,0,0.0393,0.154,0.00136,0.106,0.528,80.614,240107,4,41.29412,10,1
Get Low featuring Ying Yang Twins,Lil Jon & The East Side Boyz,63,0.771,0.621,1,-7.453,1,0.0376,0.0295,0,0.124,0.154,101.013,334067,4,51.21307,13,1
The Way I Am,Ingrid Michaelson,62,0.877,0.259,5,-9.302,1,0.0427,0.771,8.98E-06,0.108,0.32,119.989,135387,4,30.21526,7,1
Millionaire,Chris Stapleton,75,0.602,0.463,10,-9.666,1,0.0279,0.165,0.00968,0.0975,0.454,142.635,210133,4,23.82246,8,1
Up! - Red Version,Shania Twain,71,0.663,0.737,0,-3.995,1,0.0391,0.0162,0,0.551,0.652,125.956,172973,4,33.32393,8,1
Drag Me Down,One Direction,82,0.73,0.703,0,-5.672,0,0.0369,0.109,0,0.0657,0.595,138.113,192120,4,33.77651,11,1
Everything Is Gonna Be Alright,Sounds Of Blackness,39,0.623,0.807,10,-6.895,0,0.0399,0.0964,0.000117,0.154,0.753,91.835,288427,4,27.16324,15,1
Put Your Hand In the Hand,Donny Hathaway,61,0.491,0.549,1,-8.523,0,0.0466,0.701,0,0.306,0.493,95.466,228440,4,18.6569,12,1
Ordinary Life,Chad Brock,36,0.539,0.395,3,-9.289,1,0.0285,0.491,0,0.114,0.196,125.057,236107,4,40.98792,10,1
When I Get Where I'm Going (feat. Dolly Parton),Brad Paisley,69,0.52,0.379,0,-9.906,1,0.0279,0.619,1.85E-06,0.108,0.208,85.934,247053,4,31.58159,11,1
One Woman Man,Dave Hollister,43,0.627,0.647,11,-6.818,1,0.0294,0.0457,0,0.0655,0.521,91.015,272053,4,49.26517,7,1
"Two Steps Behind (From ""Last Action Hero"")",The Cinematic Film Band,28,0.45,0.338,9,-12.756,1,0.0306,0.236,4.39E-06,0.0845,0.315,148.091,251000,4,52.82279,11,1
Berzerk,Eminem,92,0.739,0.872,11,-4.059,0,0.333,0.0217,0,0.26,0.684,95.084,238746,4,40.90364,11,1
Un Poco Loco,Anthony Gonzalez,57,0.589,0.501,2,-7.502,1,0.138,0.609,1.46E-05,0.321,0.587,126.848,112205,4,21.06334,6,1
"What Is Love? Tell Me, Is It Easy?",Hala,49,0.801,0.41,7,-12.359,1,0.0322,0.187,0.0258,0.0993,0.719,125.133,230547,4,33.17094,11,1
Gonna,Blake Shelton,72,0.667,0.886,4,-5.12,1,0.0387,0.0265,0,0.0759,0.948,146.076,182947,4,30.3807,11,1
Bangarang (feat. Sirah),Skrillex,81,0.716,0.972,7,-2.302,1,0.196,0.0145,3.22E-05,0.317,0.576,110.026,215253,4,25.73493,10,1
Everyday We Lit (feat. PnB Rock),YFN Lucci,68,0.758,0.646,7,-4.701,1,0.112,0.128,0,0.0778,0.589,155.955,197171,4,26.94078,11,1
Break Free,Ariana Grande,100,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35E-05,0.204,0.284,129.956,214840,4,20.48237,11,1
Find out Who Your Friends Are,Tracy Lawrence,60,0.524,0.797,2,-4.777,1,0.0329,0.209,0,0.286,0.783,159.859,227840,4,40.24797,11,1
If You Don’t Mind,Ledisi,53,0.589,0.577,7,-5.183,0,0.102,0.0381,0,0.0886,0.437,172.072,244320,4,26.21808,12,1
Touch My Body,Mariah Carey,79,0.716,0.666,4,-7.719,0,0.0539,0.129,0,0.25,0.864,78.498,204733,4,25.28601,15,1
Good Luck Charm,Jagged Edge,63,0.634,0.653,11,-5.89,1,0.0689,0.434,0,0.109,0.5,116.156,264640,4,38.37958,12,1
Hey Baby (Drop It to the Floor),Pitbull,81,0.595,0.913,10,-3.428,0,0.0884,0.0435,0,0.259,0.762,128.021,234453,4,23.09675,14,1
Speed (Hardcore),Alpha Team,6,0.571,0.604,0,-14.474,1,0.051,0.000279,0.593,0.0557,0.799,150.019,378187,4,39.44303,19,1
"Never, Never Gonna Give You Up - Remastered",Lisa Stansfield,60,0.584,0.827,4,-5.43,0,0.0657,0.0645,1.91E-05,0.56,0.657,84.787,301973,4,23.51132,15,1
Tuscan Leather,Drake,97,0.597,0.679,6,-5.401,1,0.39,0.115,0,0.231,0.3,79.95,366400,4,31.52929,15,1
Happier,Marshmello,90,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,4,29.3149,9,1
Tennis Court,Lorde,77,0.764,0.547,0,-8.6,1,0.0576,0.0175,0.000161,0.23,0.402,89.993,198907,4,27.37772,9,1
Evacuate the Dancefloor - Radio Edit,Cascada,67,0.748,0.696,0,-5.975,1,0.0493,0.0174,0,0.267,0.891,127.002,208360,4,26.8518,10,1
Love Me (Right In The Pocket),Curtis Mayfield,61,0.71,0.617,11,-10.144,1,0.0499,0.613,0.00609,0.0513,0.961,116.862,441240,4,33.17895,18,1
Closer to Free,Bodeans,39,0.497,0.875,7,-8.84,1,0.0355,4.59E-05,0.00399,0.625,0.505,98.171,190640,4,53.7296,7,1
Another Try,Josh Turner,66,0.504,0.493,10,-7.817,1,0.0283,0.517,0.000342,0.0962,0.231,123.251,225787,4,48.09673,11,1
Filthy,Justin Timberlake,81,0.745,0.579,1,-5.771,1,0.138,0.0354,0.0118,0.246,0.645,97.002,293947,4,104.98383,8,1
After the Boys of Summer Have Gone,Trap Stars,14,0.578,0.971,6,-5.207,1,0.0367,0.0108,1.13E-05,0.0936,0.482,144.979,308219,4,43.92686,12,1
Mirror,Lil Wayne,89,0.331,0.622,5,-7.291,0,0.092,0.858,0,0.104,0.388,64.468,228093,3,27.74623,10,1
Electricity (with Dua Lipa),Silk City,73,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33E-06,0.338,0.505,118.159,238173,4,34.85759,12,1
Miss You In A Heartbeat - Revised Version,Def Leppard,69,0.603,0.394,10,-10.02,1,0.0288,0.551,3.98E-05,0.104,0.239,134.083,244611,4,48.22127,11,1
A Little Too Late,Toby Keith,68,0.408,0.752,11,-5.725,1,0.0478,0.188,3.92E-05,0.141,0.604,201.713,248040,4,42.54361,9,1
